Zone,avg_income_per_mile,avg_speed_mph,avg_fare,num_trips
Midwood,4.906780094011855,10.539737625465587,29.101666666666667,66
Morningside Heights,4.515875816056638,10.609189118495456,11.766618785412177,12531
Morrisania/Melrose,4.610312981015905,12.998749478949563,22.11815384615385,65
Mott Haven/Port Morris,4.552865075653278,13.352804354837136,21.73506289308176,318
Mount Hope,5.202618727628375,13.227769438753807,26.779589041095893,146
Murray Hill,4.640458623093603,10.845408961523727,10.25716768656017,74681
Murray Hill-Queens,4.735120994113801,12.423724137931039,31.02857142857143,21
Newark Airport,13.338316264728554,51.936770196203035,67.29180555555556,72
North Corona,4.138708767972935,15.090941322460557,20.48372093023256,43
Norwood,4.288492241456634,14.961753522701855,29.15390243902439,82
Oakland Gardens,3.4703868538171863,17.424357912178955,25.3425,8
Oakwood,7.724137931034484,6.192170818505337,67.2,1
Ocean Hill,4.2326347525553345,12.939721204624389,30.616808510638297,94
Ocean Parkway South,3.959290301513008,14.126601742696055,27.98,13
Old Astoria,4.439182346056896,11.551238675712854,14.830206766917293,532
Outside of NYC,4.699551769049815,13.657773873675133,41.45315545755237,4535
Ozone Park,3.885698303188514,15.47081213189631,32.06,13
Park Slope,4.147156460356939,13.1748462351011,18.845643410852713,645
Parkchester,4.402992697002195,12.851821803298117,26.12575757575758,66
Pelham Bay,4.361346981505176,13.796897289586306,28.841923076923077,26
Pelham Bay Park,3.225806451612903,20.036399409739303,24.333333333333332,3
Pelham Parkway,4.241971102277746,15.621832518789274,27.44122448979592,49
Penn Station/Madison Sq West,4.641479240606474,10.155821123827971,10.989240237904035,79696
Port Richmond,3.0517180304640457,36.012756909992916,86.15,1
Prospect Heights,4.126762806768197,13.819141280882707,18.01144385026738,187
Prospect Park,4.309241970786617,12.007509051088368,19.68795918367347,49
Prospect-Lefferts Gardens,4.815725009877517,11.953440930394258,24.748426395939084,197
Queens Village,4.085791793828416,17.188784548277113,31.51276923076923,65
Queensboro Hill,4.2707452001301665,13.951007282701218,30.880000000000003,17
Queensbridge/Ravenswood,4.259144437628828,12.981495578148602,14.246247689463956,541
Randalls Island,6.442317653733257,22.113272727272733,40.18123076923077,65
Red Hook,3.9757759059302393,15.974212645336078,25.573636363636364,55
Rego Park,4.932069232907576,15.615093669086665,30.36954954954955,111
Richmond Hill,5.965430242616468,17.632756820554725,41.37792857142857,140
Ridgewood,4.471514590088003,13.58924319373907,27.396486486486488,74
Riverdale/North Riverdale/Fieldston,3.375881992023725,19.965914730111017,38.8385294117647,34
Rockaway Park,3.000410755474107,23.107550652037236,52.75555555555556,18
Roosevelt Island,3.0544031169955628,4.966005285080844,18.405434782608694,46
Rosedale,3.2745059696466012,22.196378932702803,53.824107142857144,56
Saint Albans,4.073708014113885,14.047985637779943,35.72119658119658,117
Saint George/New Brighton,3.0952380952380953,29.870914356640466,62.075,2
Saint Michaels Cemetery/Woodside,4.57609909635496,19.64343490304709,28.16875,32
Schuylerville/Edgewater Park,3.959626962578207,17.309342717675104,26.8336,25
Seaport,3.781588149534246,14.292515888268543,14.980627698439056,3011
Sheepshead Bay,3.524105998594401,23.653125305576985,44.86557894736843,95
